Player,My C Won,Hands,Raise First,Limp,Att To Steal (SB),3Bet BB v SB,Call BB v SB,Fold BB v SB,Call PF 2Bet,3Bet PF,3Bet Steal,2Bet PF & Fold,Raise & 4Bet+ PF ,Fold to PF 4Bet+,3Bet PF & Fold,CBet F,Flop Cbet (HU),CBet T,CBet R,Fold to F CBet,Fold to F Cbet (HU),Fold to F CBet (3B),Fold to F CBet (non-3B),CBet F & Fold,XR Flop,Fold to F XR,Donk F,Donk T,Bet R & WSD,Call R & WSD,WSD,WSD (ns)
lierre,-63.18,236,39.47,3.01,66.67,0,66.67,33.33,39.51,3.7,9.09,0,0,28.57,0,84.62,85.71,87.5,77.78,26.67,13.33,11.11,33.33,0,7.41,0,16.67,0,61.11,25,48.72,
wauwe,-14.26,235,16.67,41.96,20,0,100,0,52.63,8.77,20.83,0,83.33,9.09,0,95.24,100,84.62,100,43.75,12.5,33.33,47.22,0,10,50,30.95,29.41,84.21,16.67,53.06,30
metalrule666,11.00,233,39.67,4.72,50,0,25,75,38.89,3.33,9.52,0,11.11,33.33,0,90.91,86.36,47.62,0,28,4,20,30,0,0,0,13.79,14.29,85.71,25,51.92,100
masterblstr8,194.93,232,30.84,0,80,40,33.33,33.33,19.77,12.94,20.83,0,9.09,0,0,96.77,94.44,70.59,66.67,0,0,0,0,0,25,0,0,0,57.14,72.73,64.52,100
leesooji09,-22.44,229,5.32,28.23,0,,,,39.58,1.05,0,,,0,,66.67,66.67,100,,21.88,6.25,0,24.14,0,7.41,0,13.79,13.33,88.89,28.57,65.38,50
driftraper,44.48,228,27.19,4.76,66.67,25,50,25,30.49,7.32,17.39,0,16.67,0,0,85,84.62,90.91,83.33,26.09,21.74,11.11,35.71,33.33,8.33,,8.7,7.14,83.33,55.56,55.56,0
Fletch221,4.55,223,4.85,40,0,0,100,0,55.91,0,0,0,50,0,,100,100,100,100,34.21,18.42,33.33,34.38,,2.22,0,2.78,0,66.67,53.85,58.06,0
Ardy D4,-24.19,219,8.41,31.67,16.67,0,20,80,40.21,2.06,0,0,66.67,100,,75,60,80,75,26.09,8.7,0,28.57,,0,,0,4.55,66.67,14.29,58.33,0
TT 1000,-11.25,216,26.67,7.46,52.38,33.33,66.67,0,57.35,11.76,16.67,0,14.29,0,,76.67,80.95,93.75,87.5,35.14,16.22,18.18,42.31,0,9.38,0,20.59,11.11,66.67,22.22,56.25,50
Iovehate,-47.64,215,22.55,0.82,66.67,0,100,0,13.89,13.89,33.33,0,0,33.33,0,100,100,71.43,20,46.67,13.33,25,71.43,20,20,20,7.69,25,100,50,55,33.33
Zensor666,27.11,214,44.07,0,70,57.14,14.29,28.57,34.29,20,28.57,0,26.67,0,0,94.44,93.75,84.21,71.43,33.33,20,22.22,38.1,0,6.25,0,23.81,0,75,8.33,50,60
PTiger520,13.75,198,39.47,7.41,60,0,75,25,30.23,9.3,11.76,0,14.29,16.67,0,86.36,90.91,90,100,16.67,12.5,20,14.29,0,0,0,13.04,8.7,77.78,47.62,51.22,60
BB_Darkness,105.31,198,70,1.92,96,84.62,15.38,0,33.33,42.42,61.54,0,22.73,0,0,80,83.78,60.71,72.73,23.33,20,17.39,42.86,11.11,0,0,28.57,4.76,85.71,45.83,54.84,100
krokodil1977,-82.98,198,5.26,50.47,27.27,,,,61.05,10.53,7.14,,,0,0,85,100,75,40,19.51,2.44,16.67,20,0,5.88,0,15.38,0,68.75,24,45.76,33.33
RyanAshwater,49.43,195,8.08,19.64,10,0,50,50,35.21,0,0,0,0,0,,71.43,75,50,,35.29,17.65,33.33,35.71,0,0,0,16.67,22.22,100,12.5,64.29,
suntan49,255.25,195,40.23,12.15,33.33,0,100,0,41.77,20.25,11.76,0,36.84,20,0,75,100,76.47,100,38.71,9.68,27.27,45,16.67,15.63,0,13.33,5.26,72.22,46.15,65,66.67
Yuriy Ceza11,3.44,193,38.14,5.71,60,33.33,33.33,33.33,27.14,14.29,30.43,0,0,0,0,93.1,95.65,78.95,90.91,19.23,3.85,15.38,23.08,0,35.29,0,21.74,9.09,50,44.44,51.52,33.33
dmonr,-3.09,191,38.2,21.51,28.57,0,66.67,33.33,55.42,2.44,0,0,12.5,0,,80,83.33,88.89,100,23.33,16.67,14.29,26.09,50,0,0,30,14.29,64.71,29.41,52.27,0
boogi,23.42,190,44.9,3.7,33.33,75,0,25,28.57,24.19,36.36,0,25,0,0,81.48,76.47,62.5,50,20.83,16.67,15.38,27.27,0,21.74,0,20,0,77.78,25,45.16,50
PokerActive,-17.14,188,26.47,4.94,66.67,33.33,66.67,0,29.35,8.7,13.64,0,16.67,0,0,86.67,90,85.71,25,16.67,8.33,22.22,13.33,25,17.65,33.33,0,0,87.5,33.33,60,100
rallemann52,-102.17,187,10.99,44.44,0,20,20,60,58.14,12.94,22.22,0,0,25,0,61.54,66.67,100,100,21.57,9.8,23.53,20.59,0,8.11,0,15.38,13.79,52.94,25,45.95,0
eurooppa50,46.67,186,25.58,6.12,27.27,0,100,0,35.44,7.59,8.7,0,16.67,0,0,94.74,100,100,83.33,30.77,23.08,0,44.44,0,0,0,66.67,50,64.29,25,42.86,80
Apelsinka0,-29.31,186,47,8.49,69.23,0,50,50,35.19,14.81,19.23,0,25,0,0,70.27,80.95,61.54,60,12,8,0,21.43,0,16.67,0,0,7.14,75,12.5,45.45,100
